epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8672,1.608,13.4613,1.11245,0.7259,0.74718,0.79333,0.40856,1.4805,4.78846,1.07812,0.000661939,0.000661939,0.000661939
2,55.9456,1.50798,6.70914,1.11275,0.81278,0.77417,0.85989,0.47389,1.4441,1.90661,1.09354,0.00132485,0.00132485,0.00132485
3,77.7306,1.43936,3.72818,1.09848,0.81264,0.76369,0.87295,0.50524,1.39882,1.03212,1.0497,0.00198398,0.00198398,0.00198398
4,99.4441,1.40533,2.30156,1.07135,0.74227,0.79007,0.85963,0.53809,1.27673,1.15274,1.06749,0.00198303,0.00198303,0.00198303
5,121.113,1.29878,1.62198,1.05763,0.7505,0.79233,0.84652,0.52249,1.31301,1.03792,1.04686,0.00197737,0.00197737,0.00197737
6,142.783,1.31217,1.34119,1.06017,0.87413,0.82167,0.92865,0.59657,1.21904,0.91274,1.04659,0.00197171,0.00197171,0.00197171
7,164.439,1.25916,1.13514,1.03933,0.85013,0.81038,0.90745,0.57104,1.29367,0.917,1.03913,0.00196606,0.00196606,0.00196606
8,186.106,1.28394,1.06605,1.02633,0.72787,0.55079,0.64227,0.36496,1.56284,1.6679,1.27402,0.0019604,0.0019604,0.0019604
9,207.765,1.20884,1.01973,1.02699,0.83663,0.79762,0.90947,0.59422,1.16795,0.87382,1.05645,0.00195474,0.00195474,0.00195474
10,229.454,1.16638,0.9406,1.03492,0.87223,0.86005,0.94011,0.63001,1.10463,0.82767,1.01064,0.00194909,0.00194909,0.00194909
11,251.139,1.11738,0.88864,0.98545,0.83694,0.88262,0.92298,0.61776,1.14009,0.81475,0.98928,0.00194343,0.00194343,0.00194343
12,272.832,1.14988,0.86912,1.00089,0.89801,0.89842,0.95091,0.64935,1.0906,0.76353,0.9849,0.00193777,0.00193777,0.00193777
13,294.521,1.08763,0.8424,0.97182,0.81374,0.92702,0.94439,0.6582,1.07099,0.74331,0.95838,0.00193211,0.00193211,0.00193211
14,316.189,1.06758,0.80115,0.96809,0.87119,0.89616,0.94847,0.67625,1.03942,0.7438,0.96363,0.00192646,0.00192646,0.00192646
15,337.903,1.08721,0.79679,0.97507,0.90256,0.87816,0.9493,0.67669,1.00363,0.7203,0.96336,0.0019208,0.0019208,0.0019208
16,359.604,1.07924,0.78956,0.97427,0.84669,0.89165,0.95476,0.67573,1.05365,0.72665,0.98026,0.00191514,0.00191514,0.00191514
17,381.262,1.06504,0.78634,0.97034,0.88536,0.89391,0.95764,0.66866,1.01558,0.72531,0.95631,0.00190949,0.00190949,0.00190949
18,402.945,1.04637,0.74665,0.96324,0.86804,0.9058,0.94579,0.65444,1.04519,0.7072,0.97013,0.00190383,0.00190383,0.00190383
19,424.619,1.03362,0.74092,0.96107,0.90433,0.91751,0.96572,0.69726,0.97235,0.6609,0.96739,0.00189817,0.00189817,0.00189817
20,446.269,1.05125,0.74762,0.95046,0.86087,0.90786,0.95859,0.68689,1.02566,0.69875,0.96425,0.00189251,0.00189251,0.00189251
21,467.927,0.98875,0.70963,0.95256,0.87442,0.94311,0.96633,0.70137,1.00314,0.67452,0.98093,0.00188686,0.00188686,0.00188686
22,489.597,1.0363,0.73465,0.9496,0.90684,0.92292,0.9692,0.70869,0.97399,0.66421,0.94915,0.0018812,0.0018812,0.0018812
23,511.277,0.99583,0.70245,0.94125,0.87033,0.93937,0.96885,0.72953,0.93141,0.68841,0.93614,0.00187554,0.00187554,0.00187554
