epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1226,1.49727,11.2283,1.09842,0.71764,0.786,0.79298,0.42315,1.42961,3.3979,1.0934,0.000661417,0.000661417,0.000661417
2,62.5926,1.42196,5.72237,1.09292,0.65833,0.7246,0.76288,0.47111,1.25297,1.83685,1.08461,0.00132433,0.00132433,0.00132433
3,89.5368,1.39308,3.57908,1.07423,0.81215,0.80361,0.86998,0.46921,1.45906,1.09224,1.13833,0.00198347,0.00198347,0.00198347
4,116.384,1.40383,2.28688,1.08489,0.81337,0.81657,0.90116,0.54543,1.31424,0.92457,1.06418,0.00198303,0.00198303,0.00198303
5,143.216,1.32633,1.59901,1.07327,0.61181,0.79458,0.60338,0.33352,1.38271,1.23443,1.07572,0.00197737,0.00197737,0.00197737
6,170.009,1.21335,1.31193,1.04928,0.79933,0.80925,0.87959,0.56878,1.22722,0.86525,1.04724,0.00197171,0.00197171,0.00197171
7,196.811,1.22529,1.11702,1.03014,0.84803,0.87133,0.92719,0.56916,1.22406,0.85704,1.0291,0.00196606,0.00196606,0.00196606
8,223.629,1.15767,1.00443,1.00097,0.8503,0.8847,0.93459,0.62745,1.09617,0.82325,0.99226,0.0019604,0.0019604,0.0019604
9,250.428,1.11347,0.90681,1.00141,0.90116,0.88713,0.95586,0.64443,1.10823,0.75359,1.02589,0.00195474,0.00195474,0.00195474
10,277.278,1.09773,0.87149,1.00816,0.91831,0.8628,0.94364,0.61826,1.15039,0.77079,1.01221,0.00194909,0.00194909,0.00194909
11,304.11,1.08115,0.86658,0.99831,0.86638,0.8623,0.93418,0.64206,1.04967,0.77267,0.98122,0.00194343,0.00194343,0.00194343
12,330.961,1.09737,0.83889,0.98861,0.82838,0.86075,0.92734,0.64369,1.05984,0.77401,0.96337,0.00193777,0.00193777,0.00193777
13,357.774,1.04594,0.78912,0.96773,0.90151,0.86785,0.94966,0.66603,1.09793,0.70542,0.9938,0.00193211,0.00193211,0.00193211
14,384.581,1.05184,0.78452,0.97414,0.92932,0.89047,0.96198,0.67585,1.03578,0.72505,0.98521,0.00192646,0.00192646,0.00192646
15,411.935,1.01638,0.77675,0.95789,0.90998,0.88488,0.95488,0.6744,1.00498,0.69282,0.97171,0.0019208,0.0019208,0.0019208
